k			box_list([x,y])
1			[[0.11375000000000002, 0.21624999999999994]]
2			[[0.03375000000000006, 0.03749999999999998], [0.16375, 0.18250000000000005]]
3			[[0.21750000000000003, 0.2475], [0.02375000000000005, 0.02375000000000002], [0.06125000000000003, 0.06875000000000009]]
4			[[0.05874999999999997, 0.06499999999999995], [0.15874999999999995, 0.18499999999999997], [0.023750000000000004, 0.023749999999999993], [0.5037499999999999, 0.44375000000000003]]
5			[[0.057499999999999996, 0.065], [0.03125, 0.03125], [0.015000000000000013, 0.013749999999999998], [0.31375000000000003, 0.30125], [0.1225, 0.1275]]
6			[[0.54, 0.47375], [0.09125000000000005, 0.09250000000000003], [0.027500000000000024, 0.027499999999999997], [0.013750000000000002, 0.0125], [0.04500000000000004, 0.053750000000000075], [0.18625000000000003, 0.23000000000000004]]
7			[[0.04125000000000001, 0.053749999999999964], [0.5675, 0.48249999999999993], [0.20125000000000004, 0.25], [0.02875000000000001, 0.028749999999999942], [0.12749999999999995, 0.125], [0.07374999999999998, 0.07624999999999993], [0.014999999999999958, 0.013749999999999929]]
8			[[0.13374999999999992, 0.12375], [0.03125, 0.07999999999999996], [0.05374999999999999, 0.046249999999999986], [0.015, 0.013749999999999929], [0.07374999999999998, 0.08249999999999999], [0.028749999999999998, 0.029999999999999916], [0.56875, 0.4825], [0.20125, 0.25125]]
9			[[0.03999999999999998, 0.039999999999999925], [0.03125, 0.08124999999999993], [0.026249999999999996, 0.025000000000000022], [0.57, 0.48125], [0.20125000000000004, 0.25249999999999995], [0.14, 0.12625], [0.013749999999999984, 0.012499999999999956], [0.07999999999999996, 0.0925], [0.06374999999999997, 0.05499999999999998]]
10			[[0.030000000000000027, 0.08249999999999999], [0.06375000000000003, 0.035], [0.012500000000000011, 0.011249999999999982], [0.04500000000000004, 0.05125000000000002], [0.02124999999999999, 0.0225], [0.20124999999999993, 0.24874999999999997], [0.565, 0.48125], [0.07125000000000004, 0.07750000000000001], [0.03249999999999997, 0.03125], [0.125, 0.12125]]
11			[[0.1325, 0.12375], [0.07499999999999996, 0.08250000000000002], [0.03749999999999999, 0.030000000000000027], [0.03249999999999997, 0.08250000000000002], [0.026249999999999996, 0.04749999999999999], [0.56875, 0.4825], [0.011249999999999982, 0.008750000000000036], [0.016249999999999987, 0.015], [0.20125, 0.25125], [0.022500000000000006, 0.02375000000000005], [0.05500000000000005, 0.048750000000000016]]
